Iteration,Distance
157,14247.079982722957
158,14105.797314007892
159,13681.176640187996
160,13681.176640187996
161,13681.176640187996
162,13681.176640187996
163,13681.176640187996
164,13681.176640187996
165,13384.577296682735
166,13384.577296682735
167,13384.577296682735
168,13384.577296682735
169,13350.860539720481
170,13350.860539720481
171,13350.860539720481
172,13331.142046919726
173,13331.142046919726
174,13331.142046919726
175,13331.142046919726
176,13331.142046919726
177,13331.142046919726
178,13331.142046919726
179,13317.404294768477
180,13197.56903434434
181,13197.56903434434
182,12890.599135173432
183,12890.599135173432
184,12890.599135173432
185,12599.23680570282
186,12599.23680570282
187,12478.193869046592
188,12478.193869046592
189,12429.938150195805
190,12429.938150195805
191,12426.114458373559
192,12426.114458373559
193,12426.114458373559
194,12426.114458373559
195,12425.427138787472
196,12425.427138787472
197,12425.427138787472
198,12425.427138787472
199,12425.427138787472
200,12425.427138787472
201,12425.427138787472
202,12425.427138787472
203,12425.427138787472
204,12425.427138787472
205,12425.427138787472
206,12425.427138787472
207,12425.427138787472
208,12425.427138787472
209,12425.427138787472
210,12174.513257583787
211,12174.513257583787
212,12174.513257583787
213,12174.513257583787
214,12174.513257583787
215,12174.513257583787
216,12174.513257583787
217,12174.513257583787
218,12174.513257583787
219,12174.513257583787
220,12174.513257583787
221,12174.513257583787
222,12174.513257583787
223,12168.434866299267
224,12168.434866299267
225,12168.434866299267
226,12168.434866299267
227,12168.434866299267
228,12168.434866299267
229,12168.434866299267
230,12168.434866299267
231,12168.434866299267
232,12077.775382308462
233,12077.775382308462
234,12077.775382308462
235,12077.775382308462
236,12077.775382308462
237,12077.775382308462
238,12077.775382308462
239,12077.775382308462
240,12077.775382308462
241,12077.775382308462
242,12077.775382308462
243,12077.775382308462
244,12077.775382308462
245,12077.775382308462
246,12077.775382308462
247,12077.775382308462
248,12077.775382308462
249,12077.775382308462
250,12077.775382308462
251,12077.775382308462
252,12077.775382308462
253,12077.775382308462
254,11962.029438874988
255,11962.029438874988
256,11962.029438874988
257,11962.029438874988
258,11962.029438874988
259,11962.029438874988
260,11911.97673215023
261,11911.97673215023
262,11911.97673215023
263,11911.97673215023
264,11911.97673215023
265,11911.97673215023
266,11765.586952448068
267,11765.586952448068
268,11765.586952448068
269,11765.586952448068
270,11765.586952448068
271,11765.586952448068
272,11746.845015337149
273,11746.845015337149
274,11746.845015337149
275,11746.845015337149
276,11746.845015337149
277,11746.845015337149
278,11746.845015337149
279,11746.845015337149
280,11746.845015337149
281,11746.845015337149
282,11746.845015337149
283,11746.845015337149
284,11746.845015337149
285,11746.845015337149
286,11746.845015337149
287,11746.845015337149
288,11746.845015337149
289,11746.845015337149
290,11746.845015337149
291,11746.845015337149
292,11746.845015337149
293,11746.845015337149
294,11746.845015337149
295,11746.845015337149
296,11746.845015337149
297,11746.845015337149
298,11732.039111542323
299,11732.039111542323
300,11732.039111542323
301,11732.039111542323
302,11732.039111542323
303,11732.039111542323
304,11732.039111542323
305,11732.039111542323
306,11732.039111542323
307,11732.039111542323
308,11724.625907048669
309,11724.625907048669
310,11724.625907048669
311,11724.625907048669
312,11724.625907048669
313,11724.625907048669
314,11724.625907048669
315,11724.625907048669
316,11724.625907048669
317,11724.625907048669
318,11724.625907048669
319,11724.625907048669
320,11724.625907048669
321,11724.625907048669
322,11724.625907048669
323,11724.625907048669
324,11724.625907048669
325,11724.625907048669
326,11724.625907048669
327,11724.625907048669
328,11724.625907048669
329,11713.641188622632
330,11713.641188622632
331,11713.641188622632
332,11713.641188622632
333,11713.641188622632
334,11713.641188622632
335,11713.641188622632
336,11713.641188622632
337,11713.641188622632
338,11713.641188622632
339,11713.641188622632
340,11713.641188622632
341,11713.641188622632
342,11713.641188622632
343,11713.641188622632
344,11713.641188622632
345,11713.641188622632
346,11713.641188622632
347,11713.641188622632
348,11713.641188622632
349,11713.641188622632
350,11713.641188622632
351,11713.641188622632
352,11713.641188622632
353,11713.641188622632
354,11713.641188622632
355,11713.641188622632
356,11713.641188622632
357,11713.641188622632
358,11713.641188622632
359,11713.641188622632
360,11713.641188622632
361,11713.641188622632
362,11713.641188622632
363,11713.641188622632
364,11713.641188622632
365,11713.641188622632
366,11713.641188622632
367,11713.641188622632
368,11713.641188622632
369,11713.641188622632
370,11713.641188622632
371,11713.641188622632
372,11713.641188622632
373,11713.641188622632
374,11713.641188622632
375,11713.641188622632
376,11713.641188622632
377,11713.641188622632
378,11713.641188622632
379,11713.641188622632
380,11713.641188622632
381,11713.641188622632
382,11713.641188622632
383,11713.641188622632
384,11713.641188622632
385,11713.641188622632
386,11713.641188622632
387,11713.641188622632
388,11713.641188622632
389,11713.641188622632
390,11713.641188622632
391,11713.641188622632
