Iteration,Distance
0,22205.617692710774
1,22205.617692710774
2,22033.339369287565
3,22033.339369287565
4,22033.339369287565
5,22033.339369287565
6,22033.339369287565
7,22033.339369287565
8,22033.339369287565
9,22033.339369287565
10,22033.339369287565
11,21487.623263873338
12,21290.77213265687
13,21211.78404059013
14,21211.78404059013
15,21211.78404059013
16,21211.78404059013
17,21122.981473548843
18,21122.981473548843
19,21122.981473548843
20,21122.981473548843
21,21122.981473548843
22,21122.981473548843
23,21122.981473548843
24,21122.981473548843
25,21122.981473548843
26,21122.981473548843
27,21122.981473548843
28,21122.981473548843
29,21122.981473548843
30,21122.981473548843
31,21122.981473548843
32,21122.981473548843
33,21122.981473548843
34,21122.981473548843
35,21122.981473548843
36,21122.981473548843
37,21122.981473548843
38,21122.981473548843
39,21122.981473548843
40,21122.981473548843
41,21122.981473548843
42,21122.981473548843
43,21122.981473548843
44,21122.981473548843
45,21122.981473548843
46,21122.981473548843
47,21122.981473548843
48,21122.981473548843
49,21122.981473548843
50,21122.981473548843
51,21122.981473548843
52,21122.981473548843
53,21122.981473548843
54,21122.981473548843
55,21122.981473548843
56,21122.981473548843
57,21122.981473548843
58,21122.981473548843
59,21122.981473548843
60,21122.981473548843
61,21122.981473548843
62,21122.981473548843
63,21122.981473548843
64,21122.981473548843
65,21122.981473548843
66,21122.981473548843
67,21122.981473548843
68,21122.981473548843
69,21122.981473548843
70,21122.981473548843
71,21122.981473548843
72,21122.981473548843
73,21122.981473548843
74,21122.981473548843
75,21122.981473548843
76,21122.981473548843
77,21122.981473548843
78,21122.981473548843
79,21122.981473548843
80,21122.981473548843
81,21122.981473548843
82,21122.981473548843
83,21122.981473548843
84,21122.981473548843
85,21122.981473548843
86,21122.981473548843
87,21122.981473548843
88,21122.981473548843
89,21122.981473548843
90,21122.981473548843
91,21122.981473548843
92,21122.981473548843
93,21122.981473548843
94,21122.981473548843
95,21122.981473548843
96,21122.981473548843
97,21122.981473548843
98,21122.981473548843
99,21122.981473548843
100,21122.981473548843
101,21122.981473548843
102,21122.981473548843
103,21122.981473548843
104,21122.981473548843
105,21122.981473548843
106,21122.981473548843
107,21122.981473548843
108,21122.981473548843
109,21122.981473548843
110,21122.981473548843
111,21122.981473548843
112,21122.981473548843
113,21122.981473548843
114,21122.981473548843
115,21122.981473548843
116,21122.981473548843
117,21122.981473548843
118,21122.981473548843
119,21122.981473548843
120,21122.981473548843
121,21122.981473548843
122,21122.981473548843
123,21122.981473548843
124,21122.981473548843
125,21122.981473548843
126,21122.981473548843
127,21122.981473548843
128,21122.981473548843
129,21122.981473548843
130,21122.981473548843
131,21122.981473548843
132,21122.981473548843
133,21122.981473548843
134,21122.981473548843
135,21122.981473548843
136,21122.981473548843
137,21122.981473548843
138,21122.981473548843
139,21122.981473548843
140,21122.981473548843
141,21122.981473548843
142,21122.981473548843
143,21122.981473548843
144,21122.981473548843
145,21122.981473548843
146,21019.82215652867
147,21019.82215652867
148,21019.82215652867
149,21019.82215652867
150,21019.82215652867
151,21019.82215652867
152,21019.82215652867
153,21019.82215652867
154,21019.82215652867
155,21019.82215652867
156,21019.82215652867
157,21019.82215652867
158,21019.82215652867
