Iteration,Distance
0,322033.50995337486
1,308953.8247998981
2,303656.74659750145
3,298073.7354368683
4,294190.50645175605
5,293111.86147957336
6,287609.1325043701
7,287609.1325043701
8,287609.1325043701
9,287609.1325043701
10,287609.1325043701
11,287609.1325043701
12,287609.1325043701
13,287609.1325043701
14,287609.1325043701
15,287609.1325043701
16,287609.1325043701
17,287609.1325043701
18,287609.1325043701
19,287609.1325043701
20,282384.7455310423
21,282384.7455310423
22,282384.7455310423
23,282384.7455310423
24,282384.7455310423
25,280308.1708118851
26,280308.1708118851
27,280308.1708118851
28,276373.5602605457
29,276373.5602605457
30,276373.5602605457
31,276373.5602605457
32,276373.5602605457
33,276373.5602605457
34,276373.5602605457
35,276373.5602605457
36,276373.5602605457
37,276373.5602605457
38,276373.5602605457
39,276345.58108586556
40,276345.58108586556
41,276345.58108586556
42,276345.58108586556
43,276345.58108586556
44,276345.58108586556
45,276345.58108586556
46,276345.58108586556
47,276345.58108586556
48,276345.58108586556
49,276345.58108586556
50,276345.58108586556
51,276345.58108586556
52,276345.58108586556
53,276345.58108586556
54,273341.1234831319
55,273341.1234831319
56,273341.1234831319
57,273341.1234831319
58,273341.1234831319
59,273341.1234831319
60,273341.1234831319
61,273341.1234831319
62,273341.1234831319
63,273341.1234831319
64,273341.1234831319
65,273341.1234831319
66,273341.1234831319
67,273341.1234831319
68,273341.1234831319
69,273341.1234831319
70,273341.1234831319
71,273025.4797032608
72,272657.9790346236
73,272657.9790346236
74,272657.9790346236
75,272657.9790346236
76,272657.9790346236
77,272657.9790346236
78,272657.9790346236
79,272430.07591160043
80,272430.07591160043
81,272430.07591160043
82,272430.07591160043
83,272430.07591160043
84,272430.07591160043
85,272430.07591160043
86,272430.07591160043
87,272430.07591160043
88,272430.07591160043
89,272430.07591160043
90,272430.07591160043
91,272430.07591160043
92,272430.07591160043
93,272430.07591160043
94,272028.39795326756
95,272028.39795326756
96,272028.39795326756
97,272028.39795326756
98,272028.39795326756
99,272028.39795326756
100,272028.39795326756
101,272028.39795326756
102,272028.39795326756
103,272028.39795326756
104,272028.39795326756
105,271393.52056700684
106,271393.52056700684
107,271393.52056700684
108,271393.52056700684
109,271393.52056700684
110,271393.52056700684
111,271393.52056700684
112,271393.52056700684
113,271393.52056700684
114,271393.52056700684
115,271393.52056700684
116,271393.52056700684
117,271393.52056700684
118,271368.0517714253
119,270486.1065667396
120,270486.1065667396
121,270486.1065667396
122,270486.1065667396
123,270486.1065667396
124,270486.1065667396
125,270486.1065667396
126,270486.1065667396
127,270486.1065667396
128,270486.1065667396
129,269381.2264423769
130,269381.2264423769
131,269381.2264423769
132,269381.2264423769
133,269381.2264423769
134,269381.2264423769
135,269381.2264423769
136,269381.2264423769
137,269381.2264423769
138,269381.2264423769
139,269381.2264423769
140,269381.2264423769
141,269381.2264423769
142,269381.2264423769
143,269381.2264423769
144,269381.2264423769
145,269381.2264423769
146,269381.2264423769
147,269381.2264423769
148,269381.2264423769
149,269381.2264423769
150,269381.2264423769
151,269381.2264423769
152,267506.16816681385
153,267506.16816681385
154,267506.16816681385
155,267506.16816681385
156,267506.16816681385
157,267506.16816681385
158,267506.16816681385
159,267506.16816681385
160,267506.16816681385
161,267506.16816681385
162,267506.16816681385
163,267506.16816681385
164,267506.16816681385
165,267506.16816681385
166,267506.16816681385
167,267506.16816681385
168,267506.16816681385
169,267506.16816681385
170,267506.16816681385
171,267506.16816681385
172,267506.16816681385
173,265980.19772508653
174,265980.19772508653
175,265980.19772508653
176,265980.19772508653
177,265980.19772508653
178,265869.2638563758
179,265869.2638563758
180,265869.2638563758
181,263085.19166017836
182,263085.19166017836
183,263085.19166017836
184,263085.19166017836
185,263085.19166017836
186,263085.19166017836
187,263085.19166017836
188,263085.19166017836
189,263085.19166017836
190,263085.19166017836
191,263085.19166017836
192,263085.19166017836
193,263085.19166017836
194,263085.19166017836
195,263085.19166017836
196,263085.19166017836
197,263085.19166017836
198,263085.19166017836
199,263085.19166017836
200,263085.19166017836
201,263085.19166017836
202,263085.19166017836
203,263085.19166017836
204,263085.19166017836
205,263085.19166017836
206,263085.19166017836
207,263085.19166017836
208,263085.19166017836
209,263085.19166017836
210,262806.00556351244
211,262806.00556351244
212,262806.00556351244
213,262806.00556351244
214,262806.00556351244
215,262806.00556351244
216,262806.00556351244
217,262806.00556351244
218,262806.00556351244
219,262806.00556351244
220,262806.00556351244
221,262806.00556351244
222,262806.00556351244
223,262806.00556351244
224,262806.00556351244
225,262806.00556351244
226,262806.00556351244
227,262806.00556351244
228,262806.00556351244
229,262806.00556351244
230,262806.00556351244
231,262806.00556351244
232,262806.00556351244
233,262806.00556351244
234,262806.00556351244
235,262806.00556351244
236,262806.00556351244
237,262806.00556351244
238,262806.00556351244
239,262806.00556351244
240,262806.00556351244
241,262806.00556351244
242,262806.00556351244
243,262806.00556351244
244,262806.00556351244
245,262806.00556351244
246,262806.00556351244
247,262806.00556351244
248,262806.00556351244
249,262806.00556351244
250,262806.00556351244
251,262806.00556351244
252,262806.00556351244
253,262806.00556351244
254,262806.00556351244
255,262806.00556351244
256,262806.00556351244
257,262806.00556351244
258,262806.00556351244
259,262806.00556351244
260,262806.00556351244
261,262806.00556351244
262,262806.00556351244
263,262806.00556351244
