Iteration,Distance
303,29385.579873203485
304,29385.579873203485
305,29385.579873203485
306,29385.579873203485
307,29452.10790377296
308,29452.10790377296
309,29452.10790377296
310,29452.10790377296
311,29458.87553415616
312,29516.512264902427
313,29516.512264902427
314,29572.033831271645
315,29573.44128423598
316,29580.159443821245
317,29782.655521305573
318,29986.52767029478
319,30051.13388795428
320,30145.489038433352
321,30528.988156079755
322,30663.813345068862
323,30663.813345068862
324,30663.813345068862
325,30663.813345068862
326,30663.813345068862
327,30743.52471673075
328,30743.52471673075
329,30743.52471673075
330,30743.52471673075
331,30848.646217575402
332,30994.504494518365
333,30994.504494518365
334,31006.803791135484
335,31006.803791135484
336,31090.255832585575
337,31161.561200638334
338,31161.561200638334
339,31165.254272289178
340,31226.44590626306
341,31226.44590626306
342,31226.44590626306
343,31226.44590626306
344,31226.44590626306
345,31226.44590626306
346,31226.44590626306
347,31226.44590626306
348,31226.44590626306
349,31226.44590626306
350,31226.44590626306
351,31567.243595788237
352,31828.629138278666
353,31828.629138278666
354,32065.685147278462
355,32073.132318973858
356,32073.132318973858
357,32073.132318973858
358,32095.200419132445
359,32104.02920347234
360,32113.787633625936
361,32301.346686928275
362,32301.346686928275
363,32301.346686928275
364,32301.346686928275
365,32301.346686928275
366,32301.346686928275
367,32301.346686928275
368,32301.346686928275
369,32301.346686928275
370,32301.346686928275
371,32301.346686928275
372,32301.346686928275
373,32301.346686928275
374,32301.346686928275
375,32301.346686928275
376,32301.346686928275
377,32301.346686928275
378,32544.22252151987
379,32544.22252151987
380,32544.22252151987
381,32544.22252151987
382,32544.22252151987
383,32544.22252151987
384,32544.22252151987
385,32544.22252151987
386,32544.22252151987
387,32780.79494621288
388,32882.94826426712
389,32887.93098964336
390,32889.110296541934
391,32889.110296541934
392,32889.110296541934
393,32889.110296541934
394,32889.110296541934
395,32889.110296541934
396,33040.43248726189
397,33040.43248726189
398,33040.43248726189
399,33139.81671625491
400,33233.03150026585
401,33235.77236523701
402,33235.77236523701
403,33547.31648675398
404,33854.441829173215
405,33854.441829173215
406,33854.441829173215
407,33965.83247286499
408,33965.83247286499
409,33965.83247286499
410,33965.83247286499
411,33965.83247286499
412,33965.83247286499
413,33965.83247286499
414,33965.83247286499
415,33965.83247286499
416,33965.83247286499
417,33965.83247286499
418,33965.83247286499
419,33965.83247286499
420,33965.83247286499
421,33965.83247286499
422,33965.83247286499
423,33965.83247286499
424,33965.83247286499
425,33965.83247286499
426,33965.83247286499
427,33965.83247286499
428,33965.83247286499
429,33965.83247286499
430,33965.83247286499
431,33965.83247286499
432,33965.83247286499
433,33965.83247286499
434,33965.83247286499
435,33965.83247286499
436,33965.83247286499
437,33965.83247286499
438,33965.83247286499
439,33965.83247286499
440,33965.83247286499
441,33965.83247286499
442,33965.83247286499
443,33965.83247286499
444,33965.83247286499
445,33965.83247286499
446,33965.83247286499
447,33965.83247286499
448,33965.83247286499
449,33965.83247286499
450,33965.83247286499
451,33965.83247286499
452,33965.83247286499
453,33965.83247286499
454,33965.83247286499
455,33965.83247286499
456,33965.83247286499
457,33965.83247286499
458,33965.83247286499
459,33965.83247286499
460,33965.83247286499
461,33965.83247286499
462,33965.83247286499
463,33989.94826459568
464,33989.94826459568
465,33989.94826459568
466,33989.94826459568
467,33989.94826459568
468,33989.94826459568
469,33989.94826459568
470,33989.94826459568
471,33989.94826459568
472,33989.94826459568
473,33989.94826459568
474,33989.94826459568
475,33989.94826459568
476,33989.94826459568
477,33989.94826459568
478,33989.94826459568
479,34021.16252798776
480,34021.16252798776
481,34021.16252798776
482,34021.16252798776
483,34021.16252798776
484,34217.28967948054
485,34217.28967948054
486,34249.58085096665
487,34295.80259488773
488,34295.80259488773
489,34295.80259488773
490,34353.88574722543
491,34353.88574722543
492,34445.75401838162
493,34462.12754765142
494,34561.18955123404
495,34561.18955123404
496,34618.56565923662
497,34646.05597157146
498,34658.72130729526
499,34658.72130729526
500,34658.72130729526
501,34658.72130729526
502,34658.72130729526
503,34658.72130729526
504,34658.72130729526
505,34658.72130729526
506,34658.72130729526
507,34658.72130729526
508,34658.72130729526
509,34658.72130729526
510,34658.72130729526
511,34658.72130729526
512,34658.72130729526
513,34658.72130729526
514,34658.72130729526
515,34658.72130729526
516,34658.72130729526
517,34658.72130729526
518,34658.72130729526
519,34658.72130729526
520,34658.72130729526
521,34658.72130729526
